chipID,endotype,sil_width
X27_03_2013_F10_3351.CEL,Mars1,0.448531392
X19_03_2013_F12_516.CEL,Mars1,0.445568082
X20_03_2013_G11_2345.CEL,Mars1,0.442264954
X26_03_2013_C08_2800.CEL,Mars1,0.442023593
X13_02_2013_E12_1388.CEL,Mars1,0.402049607
X26_03_2013_E11_2659.CEL,Mars1,0.392832787
X06_02_2013_B04_1758.CEL,Mars1,0.390152824
X06_02_2013_A12_1494.CEL,Mars1,0.378947644
X06_02_2013_H11_1137.CEL,Mars1,0.370291396
X27_03_2013_C10_2313.CEL,Mars1,0.356332509
X03_04_2013_H09_2480.CEL,Mars1,0.346985101
X21_03_2013_G07_2406.CEL,Mars1,0.346231905
X05_03_2013_D08_1074.CEL,Mars1,0.341608558
X21_03_2013_H10_2924.CEL,Mars1,0.339615963
X20_03_2013_B05_797.CEL,Mars1,0.334001949
X19_03_2013_F07_2113.CEL,Mars1,0.329794352
X05_03_2013_H06_2193.CEL,Mars1,0.329653546
X26_03_2013_H07_3103.CEL,Mars1,0.322196604
X20_03_2013_B11_1225.CEL,Mars1,0.299307265
X13_03_2013_B06_1481.CEL,Mars1,0.299102931
X21_03_2013_H07_2995.CEL,Mars1,0.296009424
X13_02_2013_H06_638.CEL,Mars1,0.29481599
X03_04_2013_E08_1507.CEL,Mars1,0.283740582
X22_01_2013_G07_1587.CEL,Mars1,0.283035231
X06_02_2013_B01_803.CEL,Mars1,0.281448709
X07_03_2013_A07_2129.CEL,Mars1,0.280868464
X21_03_2013_F12_2407.CEL,Mars1,0.280137742
X07_03_2013_B11_449.CEL,Mars1,0.265981904
X13_02_2013_B10_1521.CEL,Mars1,0.265823712
X27_03_2013_G12_3293.CEL,Mars1,0.263533944
X21_03_2013_H04_2977.CEL,Mars1,0.254921864
X12_03_2013_F08_1818.CEL,Mars1,0.253651272
X20_03_2013_G06_2367.CEL,Mars1,0.251258131
X21_03_2013_B11_1318.CEL,Mars1,0.249966853
X22_01_2013_E10_808.CEL,Mars1,0.249649528
X21_03_2013_F06_2461.CEL,Mars1,0.24383826
X26_03_2013_E10_2669.CEL,Mars1,0.239618452
X03_04_2013_A09_3172.CEL,Mars1,0.236283481
X14_03_2013_D08_1973.CEL,Mars1,0.232233125
X26_03_2013_H03_3085.CEL,Mars1,0.230493578
X22_01_2013_E06_1151.CEL,Mars1,0.229334552
X06_02_2013_F08_428.CEL,Mars1,0.224930148
X21_03_2013_C06_221.CEL,Mars1,0.214599849
X03_04_2013_G03_3338.CEL,Mars1,0.206669536
X26_03_2013_H05_3092.CEL,Mars1,0.199962611
X26_03_2013_G07_3003.CEL,Mars1,0.199498061
X26_03_2013_D01_2750.CEL,Mars1,0.191393157
X14_03_2013_A09_399.CEL,Mars1,0.190189552
X12_03_2013_G04_1056.CEL,Mars1,0.185051852
X27_03_2013_F08_3395.CEL,Mars1,0.178820556
X20_03_2013_G07_2363.CEL,Mars1,0.174705624
X07_03_2013_F03_1214.CEL,Mars1,0.169663658
X03_04_2013_H05_544.CEL,Mars1,0.167298694
X03_04_2013_A07_3170.CEL,Mars1,0.161236733
X03_04_2013_F06_3049.CEL,Mars1,0.152940539
X13_02_2013_F09_554.CEL,Mars1,0.14810473
X14_03_2013_F02_879.CEL,Mars1,0.145410093
X21_03_2013_D09_2562.CEL,Mars1,0.129965
X12_03_2013_G10_2028.CEL,Mars1,0.12420034
X21_03_2013_F07_2455.CEL,Mars1,0.123279104
X14_03_2013_D01_1908.CEL,Mars1,0.123265169
X27_03_2013_A04_3054.CEL,Mars1,0.119775854
X13_03_2013_F06_290.CEL,Mars1,0.114661371
X21_03_2013_H09_2919.CEL,Mars1,0.109312077
X13_03_2013_B12_834.CEL,Mars1,0.102718352
X26_03_2013_D12_2724.CEL,Mars1,0.099736763
X26_03_2013_H08_3063.CEL,Mars1,0.091096139
X12_03_2013_E01_1669.CEL,Mars1,0.081914543
X03_04_2013_A10_3165.CEL,Mars1,0.079828644
